https://api.eia.gov/v2/electricity/retail-sales/data/,,,"{""frequency"":""annual"",""data"":[""price""],""facets"":{""stateid"": [""AL"", ""AR"", ""AZ"", ""CA"", ""CO"", ""CT"", ""DC"", ""DE"", ""ENC"", ""ESC"", ""MD"", ""MA"", ""MAT"", ""LA"", ""KY"", ""KS"", ""IN"", ""IL"", ""ID"", ""IA"", ""HI"", ""GA"", ""ESC"", ""AK"", ""AL"", ""AZ"", ""CA"", ""CO"", ""DC"", ""DE"", ""ESC"", ""GA"", ""HI"", ""IA"", ""ID"", ""IL"", ""IN"", ""KS"", ""MAT"", ""LA"", ""KS"", ""IN"", ""IL"", ""ID"", ""IA"", ""HI"", ""AZ"", ""CA"", ""CO"", ""DC"", ""DE"", ""ESC"", ""GA"", ""IA"", ""ID"", ""IL"", ""IN"", ""KS"", ""LA"", ""MAT"", ""MA"", ""MD"", ""ME"", ""MI"", ""MN"", ""MO"", ""MS"", ""MTN"", ""MT"", ""NC"", ""ND"", ""NEW"", ""NE"", ""NH"", ""NJ"", ""NM"", ""NV"", ""NY"", ""OH"", ""OK"", ""OR"", ""PACC"", ""PACN"", ""PA"", ""RI"", ""SAT"", ""SC"", ""SD"", ""TN"", ""TX"", ""US"", ""UT"", ""VA"", ""VT"", ""WA"", ""WI"", ""WNC"", ""WSC"", ""WV"", ""WY""]},""start"":""2001"",""end"":""2019"",""sort"":[{""column"":""period"",""direction"":""desc""}],""offset"":0,""length"":5000}",,,
Category,Category,Frequency,Data,Facet,,
Electricity,Electricity Sales to Ultimate Customers,annual,price,State / Census Region,,
electricity,retail-sales,annual,price,stateid,,
,,,,AL,,
,,,,AR,,
,,,,AZ,,
Date Controls,Enter Date Below,,,CA,,
Format:,YYYY,,,CO,,
Start:,2001,,,CT,,
End:,2019,,,DC,,
,,,,DE,,
,,,,ENC,,
,,,,ESC,,
,,,,MD,,
,,,,MA,,
,,,,MAT,,
,,,,LA,,
,,,,KY,,
Row Controls,,,,KS,,
Total Rows Available:,6954,,,IN,,
Rows to Return:,5000,,,IL,,
Data Chunk#:,0,,,ID,,
Starting Row:,40,,,IA,,
,,,,HI,,
,,,,GA,,
,,,,ESC,,
,,,,AK,,
,,,,AL,,
,,,,AZ,,
,,,,CA,,
,,,,CO,,
,,,,DC,,
,,,,DE,,
,,,,ESC,,
,,,,GA,,
,,,,HI,,
,,,,IA,,
,,,,ID,,
period,stateid,stateDescription,sectorid,sectorName,price,price-units
2019,AK,Alaska,COM,commercial,19.8,cents per kilowatthour
2019,PA,Pennsylvania,ALL,all sectors,9.81,cents per kilowatthour
2019,OR,Oregon,TRA,transportation,9.14,cents per kilowatthour
2019,OR,Oregon,RES,residential,11.01,cents per kilowatthour
2019,OR,Oregon,OTH,other,,cents per kilowatthour
2019,OR,Oregon,IND,industrial,5.86,cents per kilowatthour
2019,OR,Oregon,COM,commercial,8.85,cents per kilowatthour
2019,OR,Oregon,ALL,all sectors,8.81,cents per kilowatthour
2019,OK,Oklahoma,TRA,transportation,0,cents per kilowatthour
2019,OK,Oklahoma,RES,residential,10.21,cents per kilowatthour
2019,OK,Oklahoma,OTH,other,,cents per kilowatthour
2019,OK,Oklahoma,IND,industrial,5.07,cents per kilowatthour
2019,OK,Oklahoma,COM,commercial,7.98,cents per kilowatthour
2019,OK,Oklahoma,ALL,all sectors,7.86,cents per kilowatthour
2019,OH,Ohio,TRA,transportation,6.83,cents per kilowatthour
2019,OH,Ohio,RES,residential,12.38,cents per kilowatthour
2019,OH,Ohio,OTH,other,,cents per kilowatthour
2019,OH,Ohio,IND,industrial,6.55,cents per kilowatthour
2019,OH,Ohio,COM,commercial,9.72,cents per kilowatthour
2019,OH,Ohio,ALL,all sectors,9.58,cents per kilowatthour
2019,ND,North Dakota,TRA,transportation,0,cents per kilowatthour
2019,ND,North Dakota,RES,residential,10.3,cents per kilowatthour
2019,ND,North Dakota,OTH,other,,cents per kilowatthour
2019,ND,North Dakota,IND,industrial,7.94,cents per kilowatthour
2019,ND,North Dakota,COM,commercial,9.01,cents per kilowatthour
2019,ND,North Dakota,ALL,all sectors,8.85,cents per kilowatthour
2019,NC,North Carolina,TRA,transportation,8.2,cents per kilowatthour
2019,NC,North Carolina,RES,residential,11.42,cents per kilowatthour
2019,NC,North Carolina,OTH,other,,cents per kilowatthour
2019,NC,North Carolina,IND,industrial,6.3,cents per kilowatthour
2019,NC,North Carolina,COM,commercial,8.81,cents per kilowatthour
2019,NC,North Carolina,ALL,all sectors,9.45,cents per kilowatthour
2019,NY,New York,TRA,transportation,12.28,cents per kilowatthour
2019,NY,New York,RES,residential,17.94,cents per kilowatthour
2019,NY,New York,OTH,other,,cents per kilowatthour
2019,NY,New York,IND,industrial,5.61,cents per kilowatthour
2019,NY,New York,COM,commercial,14.06,cents per kilowatthour
2019,NY,New York,ALL,all sectors,14.34,cents per kilowatthour
2019,NM,New Mexico,TRA,transportation,0,cents per kilowatthour
2019,NM,New Mexico,RES,residential,12.51,cents per kilowatthour
2019,NM,New Mexico,OTH,other,,cents per kilowatthour
2019,NM,New Mexico,IND,industrial,5.48,cents per kilowatthour
2019,NM,New Mexico,COM,commercial,9.79,cents per kilowatthour
2019,NM,New Mexico,ALL,all sectors,8.99,cents per kilowatthour
2019,NJ,New Jersey,TRA,transportation,8.8,cents per kilowatthour
2019,NJ,New Jersey,RES,residential,15.85,cents per kilowatthour
2019,NJ,New Jersey,OTH,other,,cents per kilowatthour
2019,NJ,New Jersey,IND,industrial,10.16,cents per kilowatthour
2019,NJ,New Jersey,COM,commercial,12.23,cents per kilowatthour
2019,NJ,New Jersey,ALL,all sectors,13.42,cents per kilowatthour
2019,NH,New Hampshire,TRA,transportation,0,cents per kilowatthour
2019,NH,New Hampshire,RES,residential,20.05,cents per kilowatthour
2019,NH,New Hampshire,OTH,other,,cents per kilowatthour
2019,NH,New Hampshire,IND,industrial,13.09,cents per kilowatthour
2019,NH,New Hampshire,COM,commercial,15.93,cents per kilowatthour
2019,NH,New Hampshire,ALL,all sectors,17.15,cents per kilowatthour
2019,NV,Nevada,TRA,transportation,8.51,cents per kilowatthour
2019,NV,Nevada,RES,residential,12,cents per kilowatthour
2019,NV,Nevada,OTH,other,,cents per kilowatthour
2019,NV,Nevada,IND,industrial,6.14,cents per kilowatthour
2019,NV,Nevada,COM,commercial,8.04,cents per kilowatthour
2019,NV,Nevada,ALL,all sectors,8.78,cents per kilowatthour
2019,NE,Nebraska,TRA,transportation,0,cents per kilowatthour
2019,NE,Nebraska,RES,residential,10.77,cents per kilowatthour
2019,NE,Nebraska,OTH,other,,cents per kilowatthour
2019,NE,Nebraska,IND,industrial,7.65,cents per kilowatthour
2019,NE,Nebraska,COM,commercial,8.85,cents per kilowatthour
2019,NE,Nebraska,ALL,all sectors,9.08,cents per kilowatthour
2019,MT,Montana,TRA,transportation,0,cents per kilowatthour
2019,MT,Montana,RES,residential,11.13,cents per kilowatthour
2019,MT,Montana,OTH,other,,cents per kilowatthour
2019,MT,Montana,IND,industrial,5.45,cents per kilowatthour
2019,MT,Montana,COM,commercial,10.41,cents per kilowatthour
2019,MT,Montana,ALL,all sectors,9.02,cents per kilowatthour
2019,MO,Missouri,TRA,transportation,7.89,cents per kilowatthour
2019,MO,Missouri,RES,residential,11.14,cents per kilowatthour
2019,MO,Missouri,OTH,other,,cents per kilowatthour
2019,MO,Missouri,IND,industrial,7.11,cents per kilowatthour
2019,MO,Missouri,COM,commercial,9.07,cents per kilowatthour
2019,MO,Missouri,ALL,all sectors,9.68,cents per kilowatthour
2019,MS,Mississippi,TRA,transportation,0,cents per kilowatthour
2019,MS,Mississippi,RES,residential,11.27,cents per kilowatthour
2019,MS,Mississippi,OTH,other,,cents per kilowatthour
2019,MS,Mississippi,IND,industrial,5.85,cents per kilowatthour
2019,MS,Mississippi,COM,commercial,10.52,cents per kilowatthour
2019,MS,Mississippi,ALL,all sectors,9.28,cents per kilowatthour
2019,MN,Minnesota,TRA,transportation,9.49,cents per kilowatthour
2019,MN,Minnesota,RES,residential,13.04,cents per kilowatthour
2019,MN,Minnesota,OTH,other,,cents per kilowatthour
2019,MN,Minnesota,IND,industrial,7.53,cents per kilowatthour
2019,MN,Minnesota,COM,commercial,10.34,cents per kilowatthour
2019,MN,Minnesota,ALL,all sectors,10.33,cents per kilowatthour
2019,MI,Michigan,TRA,transportation,10.56,cents per kilowatthour
2019,MI,Michigan,RES,residential,15.74,cents per kilowatthour
2019,MI,Michigan,OTH,other,,cents per kilowatthour
2019,MI,Michigan,IND,industrial,7.07,cents per kilowatthour
2019,MI,Michigan,COM,commercial,11.39,cents per kilowatthour
2019,MI,Michigan,ALL,all sectors,11.56,cents per kilowatthour
2019,MA,Massachusetts,TRA,transportation,6.15,cents per kilowatthour
2019,MA,Massachusetts,RES,residential,21.92,cents per kilowatthour
2019,MA,Massachusetts,OTH,other,,cents per kilowatthour
2019,MA,Massachusetts,IND,industrial,14.76,cents per kilowatthour
2019,MA,Massachusetts,COM,commercial,16.8,cents per kilowatthour
2019,MA,Massachusetts,ALL,all sectors,18.4,cents per kilowatthour
2019,MD,Maryland,TRA,transportation,7.37,cents per kilowatthour
2019,MD,Maryland,RES,residential,13.12,cents per kilowatthour
2019,MD,Maryland,OTH,other,,cents per kilowatthour
2019,MD,Maryland,IND,industrial,7.8,cents per kilowatthour
2019,MD,Maryland,COM,commercial,9.97,cents per kilowatthour
2019,MD,Maryland,ALL,all sectors,11.24,cents per kilowatthour
2019,ME,Maine,TRA,transportation,0,cents per kilowatthour
2019,ME,Maine,RES,residential,17.89,cents per kilowatthour
2019,ME,Maine,OTH,other,,cents per kilowatthour
2019,ME,Maine,IND,industrial,9.22,cents per kilowatthour
2019,ME,Maine,COM,commercial,12.83,cents per kilowatthour
2019,ME,Maine,ALL,all sectors,14.04,cents per kilowatthour
2019,LA,Louisiana,TRA,transportation,9.08,cents per kilowatthour
2019,LA,Louisiana,RES,residential,9.8,cents per kilowatthour
2019,LA,Louisiana,OTH,other,,cents per kilowatthour
2019,LA,Louisiana,IND,industrial,5.23,cents per kilowatthour
2019,LA,Louisiana,COM,commercial,8.91,cents per kilowatthour
2019,LA,Louisiana,ALL,all sectors,7.71,cents per kilowatthour
2019,KY,Kentucky,TRA,transportation,0,cents per kilowatthour
2019,KY,Kentucky,RES,residential,10.8,cents per kilowatthour
2019,KY,Kentucky,OTH,other,,cents per kilowatthour
2019,KY,Kentucky,IND,industrial,5.57,cents per kilowatthour
2019,KY,Kentucky,COM,commercial,10.15,cents per kilowatthour
2019,KY,Kentucky,ALL,all sectors,8.61,cents per kilowatthour
2019,KS,Kansas,TRA,transportation,0,cents per kilowatthour
2019,KS,Kansas,RES,residential,12.71,cents per kilowatthour
2019,KS,Kansas,OTH,other,,cents per kilowatthour
2019,KS,Kansas,IND,industrial,7.35,cents per kilowatthour
2019,KS,Kansas,COM,commercial,10.29,cents per kilowatthour
2019,KS,Kansas,ALL,all sectors,10.26,cents per kilowatthour
2019,IA,Iowa,TRA,transportation,0,cents per kilowatthour
2019,IA,Iowa,RES,residential,12.46,cents per kilowatthour
2019,IA,Iowa,OTH,other,,cents per kilowatthour
2019,IA,Iowa,IND,industrial,6.6,cents per kilowatthour
2019,IA,Iowa,COM,commercial,9.99,cents per kilowatthour
2019,IA,Iowa,ALL,all sectors,9.08,cents per kilowatthour
2019,IN,Indiana,TRA,transportation,10.76,cents per kilowatthour
2019,IN,Indiana,RES,residential,12.58,cents per kilowatthour
2019,IN,Indiana,OTH,other,,cents per kilowatthour
2019,IN,Indiana,IND,industrial,7.36,cents per kilowatthour
2019,IN,Indiana,COM,commercial,11.03,cents per kilowatthour
2019,IN,Indiana,ALL,all sectors,9.91,cents per kilowatthour
2019,WV,West Virginia,ALL,all sectors,8.49,cents per kilowatthour
2019,WA,Washington,TRA,transportation,9.45,cents per kilowatthour
2019,WA,Washington,RES,residential,9.71,cents per kilowatthour
2019,WA,Washington,OTH,other,,cents per kilowatthour
2019,WA,Washington,IND,industrial,4.8,cents per kilowatthour
2019,WA,Washington,COM,commercial,8.75,cents per kilowatthour
2019,WA,Washington,ALL,all sectors,8.04,cents per kilowatthour
2019,VA,Virginia,TRA,transportation,8.27,cents per kilowatthour
2019,VA,Virginia,RES,residential,12.07,cents per kilowatthour
2019,VA,Virginia,OTH,other,,cents per kilowatthour
2019,VA,Virginia,IND,industrial,6.85,cents per kilowatthour
2019,VA,Virginia,COM,commercial,8.18,cents per kilowatthour
2019,VA,Virginia,ALL,all sectors,9.52,cents per kilowatthour
2019,VT,Vermont,TRA,transportation,0,cents per kilowatthour
2019,VT,Vermont,RES,residential,17.71,cents per kilowatthour
2019,VT,Vermont,OTH,other,,cents per kilowatthour
2019,VT,Vermont,IND,industrial,11.05,cents per kilowatthour
2019,VT,Vermont,COM,commercial,15.98,cents per kilowatthour
2019,VT,Vermont,ALL,all sectors,15.36,cents per kilowatthour
2019,UT,Utah,TRA,transportation,10.62,cents per kilowatthour
2019,UT,Utah,RES,residential,10.4,cents per kilowatthour
2019,UT,Utah,OTH,other,,cents per kilowatthour
2019,UT,Utah,IND,industrial,5.98,cents per kilowatthour
2019,UT,Utah,COM,commercial,8.26,cents per kilowatthour
2019,UT,Utah,ALL,all sectors,8.24,cents per kilowatthour
2019,TX,Texas,TRA,transportation,6.44,cents per kilowatthour
2019,TX,Texas,RES,residential,11.76,cents per kilowatthour
2019,TX,Texas,OTH,other,,cents per kilowatthour
2019,TX,Texas,IND,industrial,5.45,cents per kilowatthour
2019,TX,Texas,COM,commercial,8.06,cents per kilowatthour
2019,TX,Texas,ALL,all sectors,8.6,cents per kilowatthour
2019,TN,Tennessee,TRA,transportation,0,cents per kilowatthour
2019,TN,Tennessee,RES,residential,10.87,cents per kilowatthour
2019,TN,Tennessee,OTH,other,,cents per kilowatthour
2019,TN,Tennessee,IND,industrial,5.68,cents per kilowatthour
2019,TN,Tennessee,COM,commercial,10.65,cents per kilowatthour
2019,TN,Tennessee,ALL,all sectors,9.69,cents per kilowatthour
2019,SD,South Dakota,TRA,transportation,0,cents per kilowatthour
2019,SD,South Dakota,RES,residential,11.55,cents per kilowatthour
2019,SD,South Dakota,OTH,other,,cents per kilowatthour
2019,SD,South Dakota,IND,industrial,7.81,cents per kilowatthour
2019,SD,South Dakota,COM,commercial,9.59,cents per kilowatthour
2019,SD,South Dakota,ALL,all sectors,9.96,cents per kilowatthour
2019,SC,South Carolina,TRA,transportation,0,cents per kilowatthour
2019,SC,South Carolina,RES,residential,12.99,cents per kilowatthour
2019,SC,South Carolina,OTH,other,,cents per kilowatthour
2019,SC,South Carolina,IND,industrial,6.11,cents per kilowatthour
2019,SC,South Carolina,COM,commercial,10.58,cents per kilowatthour
2019,SC,South Carolina,ALL,all sectors,10.02,cents per kilowatthour
2019,RI,Rhode Island,TRA,transportation,18.49,cents per kilowatthour
2019,RI,Rhode Island,RES,residential,21.73,cents per kilowatthour
2019,RI,Rhode Island,OTH,other,,cents per kilowatthour
2019,RI,Rhode Island,IND,industrial,15.59,cents per kilowatthour
2019,RI,Rhode Island,COM,commercial,16.38,cents per kilowatthour
2019,RI,Rhode Island,ALL,all sectors,18.49,cents per kilowatthour
2019,PA,Pennsylvania,TRA,transportation,7.26,cents per kilowatthour
2019,PA,Pennsylvania,RES,residential,13.8,cents per kilowatthour
2019,PA,Pennsylvania,OTH,other,,cents per kilowatthour
2019,PA,Pennsylvania,IND,industrial,6.41,cents per kilowatthour
2019,IL,Illinois,TRA,transportation,6.91,cents per kilowatthour
2019,IL,Illinois,RES,residential,13.03,cents per kilowatthour
2019,IL,Illinois,OTH,other,,cents per kilowatthour
2019,IL,Illinois,IND,industrial,6.52,cents per kilowatthour
2019,IL,Illinois,COM,commercial,9.08,cents per kilowatthour
2019,IL,Illinois,ALL,all sectors,9.56,cents per kilowatthour
2019,ID,Idaho,TRA,transportation,0,cents per kilowatthour
2019,ID,Idaho,RES,residential,9.89,cents per kilowatthour
2019,ID,Idaho,OTH,other,,cents per kilowatthour
2019,ID,Idaho,IND,industrial,6.08,cents per kilowatthour
2019,ID,Idaho,COM,commercial,7.67,cents per kilowatthour
2019,ID,Idaho,ALL,all sectors,7.89,cents per kilowatthour
2019,HI,Hawaii,TRA,transportation,0,cents per kilowatthour
2019,HI,Hawaii,RES,residential,32.06,cents per kilowatthour
2019,HI,Hawaii,OTH,other,,cents per kilowatthour
2019,HI,Hawaii,IND,industrial,25.76,cents per kilowatthour
2019,HI,Hawaii,COM,commercial,29.23,cents per kilowatthour
2019,HI,Hawaii,ALL,all sectors,28.72,cents per kilowatthour
2019,GA,Georgia,TRA,transportation,5.85,cents per kilowatthour
2019,GA,Georgia,RES,residential,11.76,cents per kilowatthour
2019,GA,Georgia,OTH,other,,cents per kilowatthour
2019,GA,Georgia,IND,industrial,6.17,cents per kilowatthour
2019,GA,Georgia,COM,commercial,10.02,cents per kilowatthour
2019,GA,Georgia,ALL,all sectors,9.86,cents per kilowatthour
2019,DC,District of Columbia,TRA,transportation,9.5,cents per kilowatthour
2019,DC,District of Columbia,RES,residential,12.98,cents per kilowatthour
2019,DC,District of Columbia,OTH,other,,cents per kilowatthour
2019,DC,District of Columbia,IND,industrial,8.22,cents per kilowatthour
2019,DC,District of Columbia,COM,commercial,12.26,cents per kilowatthour
2019,DC,District of Columbia,ALL,all sectors,12.27,cents per kilowatthour
2019,DE,Delaware,TRA,transportation,0,cents per kilowatthour
2019,DE,Delaware,RES,residential,12.55,cents per kilowatthour
2019,DE,Delaware,OTH,other,,cents per kilowatthour
2019,DE,Delaware,IND,industrial,7.7,cents per kilowatthour
2019,DE,Delaware,COM,commercial,9.53,cents per kilowatthour
2019,DE,Delaware,ALL,all sectors,10.52,cents per kilowatthour
2019,CT,Connecticut,TRA,transportation,13.69,cents per kilowatthour
2019,CT,Connecticut,RES,residential,21.87,cents per kilowatthour
2019,CT,Connecticut,OTH,other,,cents per kilowatthour
2019,CT,Connecticut,IND,industrial,13.44,cents per kilowatthour
2019,CT,Connecticut,COM,commercial,16.75,cents per kilowatthour
2019,CT,Connecticut,ALL,all sectors,18.66,cents per kilowatthour
2019,CO,Colorado,TRA,transportation,8.7,cents per kilowatthour
2019,CO,Colorado,RES,residential,12.18,cents per kilowatthour
2019,CO,Colorado,OTH,other,,cents per kilowatthour
2019,CO,Colorado,IND,industrial,7.4,cents per kilowatthour
2019,CO,Colorado,COM,commercial,10.43,cents per kilowatthour
2019,PA,Pennsylvania,COM,commercial,8.71,cents per kilowatthour
2019,US,U.S. Total,TRA,transportation,9.66,cents per kilowatthour
2019,US,U.S. Total,RES,residential,13.01,cents per kilowatthour
2019,US,U.S. Total,OTH,other,,cents per kilowatthour
2019,US,U.S. Total,IND,industrial,6.81,cents per kilowatthour
2019,US,U.S. Total,COM,commercial,10.68,cents per kilowatthour
2019,US,U.S. Total,ALL,all sectors,10.54,cents per kilowatthour
2019,PACN,Pacific Noncontiguous,TRA,transportation,0,cents per kilowatthour
2019,PACN,Pacific Noncontiguous,RES,residential,28.3,cents per kilowatthour
2019,PACN,Pacific Noncontiguous,OTH,other,,cents per kilowatthour
2019,PACN,Pacific Noncontiguous,IND,industrial,23.5,cents per kilowatthour
2019,PACN,Pacific Noncontiguous,COM,commercial,24.86,cents per kilowatthour
2019,PACN,Pacific Noncontiguous,ALL,all sectors,25.48,cents per kilowatthour
2019,PACC,Pacific Contiguous,TRA,transportation,8.98,cents per kilowatthour
2019,PACC,Pacific Contiguous,RES,residential,15.65,cents per kilowatthour
2019,PACC,Pacific Contiguous,OTH,other,,cents per kilowatthour
2019,PACC,Pacific Contiguous,IND,industrial,9.67,cents per kilowatthour
2019,PACC,Pacific Contiguous,COM,commercial,14.42,cents per kilowatthour
2019,PACC,Pacific Contiguous,ALL,all sectors,13.79,cents per kilowatthour
2019,MTN,Mountain,TRA,transportation,9.29,cents per kilowatthour
2019,MTN,Mountain,RES,residential,11.81,cents per kilowatthour
2019,MTN,Mountain,OTH,other,,cents per kilowatthour
2019,MTN,Mountain,IND,industrial,6.33,cents per kilowatthour
2019,MTN,Mountain,COM,commercial,9.56,cents per kilowatthour
2019,MTN,Mountain,ALL,all sectors,9.39,cents per kilowatthour
2019,WSC,West South Central,TRA,transportation,6.61,cents per kilowatthour
2019,WSC,West South Central,RES,residential,11.17,cents per kilowatthour
2019,WSC,West South Central,OTH,other,,cents per kilowatthour
2019,WSC,West South Central,IND,industrial,5.43,cents per kilowatthour
2019,WSC,West South Central,COM,commercial,8.2,cents per kilowatthour
2019,WSC,West South Central,ALL,all sectors,8.36,cents per kilowatthour
2019,ESC,East South Central,TRA,transportation,0,cents per kilowatthour
2019,ESC,East South Central,RES,residential,11.36,cents per kilowatthour
2019,ESC,East South Central,OTH,other,,cents per kilowatthour
2019,ESC,East South Central,IND,industrial,5.76,cents per kilowatthour
2019,ESC,East South Central,COM,commercial,10.74,cents per kilowatthour
2019,ESC,East South Central,ALL,all sectors,9.4,cents per kilowatthour
2019,SAT,South Atlantic,TRA,transportation,7.92,cents per kilowatthour
2019,SAT,South Atlantic,RES,residential,11.93,cents per kilowatthour
2019,SAT,South Atlantic,OTH,other,,cents per kilowatthour
2019,SAT,South Atlantic,IND,industrial,6.5,cents per kilowatthour
2019,SAT,South Atlantic,COM,commercial,9.36,cents per kilowatthour
2019,SAT,South Atlantic,ALL,all sectors,10.02,cents per kilowatthour
2019,WNC,West North Central,TRA,transportation,8.72,cents per kilowatthour
2019,WNC,West North Central,RES,residential,11.86,cents per kilowatthour
2019,WNC,West North Central,OTH,other,,cents per kilowatthour
2019,WNC,West North Central,IND,industrial,7.27,cents per kilowatthour
2019,WNC,West North Central,COM,commercial,9.66,cents per kilowatthour
2019,WNC,West North Central,ALL,all sectors,9.69,cents per kilowatthour
2019,ENC,East North Central,TRA,transportation,7.08,cents per kilowatthour
2019,ENC,East North Central,RES,residential,13.39,cents per kilowatthour
2019,ENC,East North Central,OTH,other,,cents per kilowatthour
2019,ENC,East North Central,IND,industrial,6.91,cents per kilowatthour
2019,ENC,East North Central,COM,commercial,10.2,cents per kilowatthour
2019,ENC,East North Central,ALL,all sectors,10.13,cents per kilowatthour
2019,MAT,Middle Atlantic,TRA,transportation,11.17,cents per kilowatthour
2019,MAT,Middle Atlantic,RES,residential,15.8,cents per kilowatthour
2019,MAT,Middle Atlantic,OTH,other,,cents per kilowatthour
2019,MAT,Middle Atlantic,IND,industrial,6.57,cents per kilowatthour
2019,MAT,Middle Atlantic,COM,commercial,12.21,cents per kilowatthour
2019,MAT,Middle Atlantic,ALL,all sectors,12.35,cents per kilowatthour
2019,NEW,New England,TRA,transportation,9.2,cents per kilowatthour
2019,NEW,New England,RES,residential,21.1,cents per kilowatthour
2019,NEW,New England,OTH,other,,cents per kilowatthour
2019,NEW,New England,IND,industrial,13.07,cents per kilowatthour
2019,NEW,New England,COM,commercial,16.33,cents per kilowatthour
2019,NEW,New England,ALL,all sectors,17.76,cents per kilowatthour
2019,WY,Wyoming,TRA,transportation,0,cents per kilowatthour
2019,WY,Wyoming,RES,residential,11.18,cents per kilowatthour
2019,WY,Wyoming,OTH,other,,cents per kilowatthour
2019,WY,Wyoming,IND,industrial,6.73,cents per kilowatthour
2019,WY,Wyoming,COM,commercial,9.64,cents per kilowatthour
2019,WY,Wyoming,ALL,all sectors,8.1,cents per kilowatthour
2019,WI,Wisconsin,TRA,transportation,13.85,cents per kilowatthour
2019,WI,Wisconsin,RES,residential,14.18,cents per kilowatthour
2019,WI,Wisconsin,OTH,other,,cents per kilowatthour
2019,WI,Wisconsin,IND,industrial,7.31,cents per kilowatthour
2019,WI,Wisconsin,COM,commercial,10.72,cents per kilowatthour
2019,WI,Wisconsin,ALL,all sectors,10.66,cents per kilowatthour
2019,WV,West Virginia,TRA,transportation,0,cents per kilowatthour
2019,WV,West Virginia,RES,residential,11.25,cents per kilowatthour
2019,WV,West Virginia,OTH,other,,cents per kilowatthour
2019,WV,West Virginia,IND,industrial,6.02,cents per kilowatthour
2019,WV,West Virginia,COM,commercial,9.16,cents per kilowatthour
2019,CO,Colorado,ALL,all sectors,10.17,cents per kilowatthour
2019,CA,California,TRA,transportation,8.91,cents per kilowatthour
2019,CA,California,RES,residential,19.15,cents per kilowatthour
2019,CA,California,OTH,other,,cents per kilowatthour
2019,CA,California,IND,industrial,13.4,cents per kilowatthour
2019,CA,California,COM,commercial,16.67,cents per kilowatthour
2019,CA,California,ALL,all sectors,16.89,cents per kilowatthour
2019,AR,Arkansas,TRA,transportation,11.73,cents per kilowatthour
2019,AR,Arkansas,RES,residential,9.8,cents per kilowatthour
2019,AR,Arkansas,OTH,other,,cents per kilowatthour
2019,AR,Arkansas,IND,industrial,6.13,cents per kilowatthour
2019,AR,Arkansas,COM,commercial,8.78,cents per kilowatthour
2019,AR,Arkansas,ALL,all sectors,8.22,cents per kilowatthour
2019,AZ,Arizona,TRA,transportation,9.68,cents per kilowatthour
2019,AZ,Arizona,RES,residential,12.43,cents per kilowatthour
2019,AZ,Arizona,OTH,other,,cents per kilowatthour
2019,AZ,Arizona,IND,industrial,6.28,cents per kilowatthour
2019,AZ,Arizona,COM,commercial,10.25,cents per kilowatthour
2019,AZ,Arizona,ALL,all sectors,10.52,cents per kilowatthour
2019,AK,Alaska,ALL,all sectors,20.22,cents per kilowatthour
2019,AL,Alabama,TRA,transportation,0,cents per kilowatthour
2019,AL,Alabama,RES,residential,12.53,cents per kilowatthour
2019,AL,Alabama,OTH,other,,cents per kilowatthour
2019,AL,Alabama,IND,industrial,5.95,cents per kilowatthour
2019,AL,Alabama,COM,commercial,11.52,cents per kilowatthour
2019,AL,Alabama,ALL,all sectors,9.83,cents per kilowatthour
2019,AK,Alaska,TRA,transportation,0,cents per kilowatthour
2019,AK,Alaska,RES,residential,22.92,cents per kilowatthour
2019,AK,Alaska,OTH,other,,cents per kilowatthour
2019,AK,Alaska,IND,industrial,16.94,cents per kilowatthour
2018,AK,Alaska,ALL,all sectors,19.36,cents per kilowatthour
2018,KS,Kansas,RES,residential,13.35,cents per kilowatthour
2018,KS,Kansas,OTH,other,,cents per kilowatthour
2018,KS,Kansas,IND,industrial,7.6,cents per kilowatthour
2018,KS,Kansas,COM,commercial,10.66,cents per kilowatthour
2018,KS,Kansas,ALL,all sectors,10.72,cents per kilowatthour
2018,IA,Iowa,TRA,transportation,0,cents per kilowatthour
2018,IA,Iowa,RES,residential,12.24,cents per kilowatthour
2018,IA,Iowa,OTH,other,,cents per kilowatthour
2018,IA,Iowa,IND,industrial,6.45,cents per kilowatthour
2018,IA,Iowa,COM,commercial,9.68,cents per kilowatthour
2018,IA,Iowa,ALL,all sectors,8.92,cents per kilowatthour
2018,IN,Indiana,TRA,transportation,10.44,cents per kilowatthour
2018,IN,Indiana,RES,residential,12.26,cents per kilowatthour
2018,IN,Indiana,OTH,other,,cents per kilowatthour
2018,IN,Indiana,IND,industrial,7.38,cents per kilowatthour
2018,IN,Indiana,COM,commercial,10.6,cents per kilowatthour
2018,IN,Indiana,ALL,all sectors,9.75,cents per kilowatthour
2018,IL,Illinois,TRA,transportation,6.75,cents per kilowatthour
2018,IL,Illinois,RES,residential,12.77,cents per kilowatthour
2018,RI,Rhode Island,COM,commercial,16.58,cents per kilowatthour
2018,RI,Rhode Island,ALL,all sectors,18.1,cents per kilowatthour
2018,PA,Pennsylvania,TRA,transportation,7.78,cents per kilowatthour
2018,PA,Pennsylvania,RES,residential,13.89,cents per kilowatthour
2018,PA,Pennsylvania,OTH,other,,cents per kilowatthour
2018,PA,Pennsylvania,IND,industrial,6.84,cents per kilowatthour
2018,PA,Pennsylvania,COM,commercial,8.94,cents per kilowatthour
2018,PA,Pennsylvania,ALL,all sectors,10.1,cents per kilowatthour
